,Unnamed: 0,text,category,trans,translate
0,0,ಒಂದು ದೇಶದ ಮುಂದುವರಿಯುವುದು ಅದರ ಆರ್ಥಿಕ ಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸುವುದಿಲ್ಲ. ಅವರು ಮಾನವೀಯತೆಯಲ್ಲಿ ಎಷ್ಟು ಸಮರ್ಥರು ಎನ್ನುವುದನ್ನು ಅವಲಂಬಿಸಿದೆ. ಭಾರತದಲ್ಲಿ ಅನಕ್ಷರತೆ ಇದೆ ಆ ಅನಕ್ಷರಸ್ಥರನ್ನು ಅವರ ಅನಕ್ಷರತೆಯೇ,Negative,ಒಂದು ದೇಶದ ಮುಂದುವರಿಯುವುದು ಅದರ ಆರ್ಥಿಕ ಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸುವುದಿಲ್ಲ. ಅವರು ಮಾನವೀಯತೆಯಲ್ಲಿ ಎಷ್ಟು ಸಮರ್ಥರು ಎನ್ನುವುದನ್ನು ಅವಲಂಬಿಸಿದೆ. ಭಾರತದಲ್ಲಿ ಅನಕ್ಷರತೆ ಇದೆ ಆ ಅನಕ್ಷರಸ್ಥರನ್ನು ಅವರ ಅನಕ್ಷರತೆಯೇ,"The progress of a country does not depend on its economic condition, it depends on how capable they are of humanity.
"
1,1,ಕನ್ನಡದಲ್ಲಿ ಡೈಲಿ ಟೆಕ್ ಅಪ್ಡೇಟ್ಸ್ ಪಡೆಯಲು ಸಬ್ಸ್ಕ್ರೈಬ್ ಮಾಡಿ ನಮ್ಮ ಚನ್ನೆಲ್ಗೆ,Positive,ಕನ್ನಡದಲ್ಲಿ ಡೈಲಿ ಟೆಕ್ ಅಪ್ಡೇಟ್ಸ್ ಪಡೆಯಲು ಸಬ್ಸ್ಕ್ರೈಬ್ ಮಾಡಿ ನಮ್ಮ ಚನ್ನೆಲ್ಗೆ,"Subscribe to our channel for Daily Tech updates in Kannada
"
2,2,Super sar song,not-Kannada,ಸೂಪರ್ ಸರ್ ಸಾಂಗ್,"Superb song
"
3,3,Tiktokers present situation... nನೋಡುವವರು ಯಾರು ನಮ್ಮ ವೀಡಿಯೋನೂ,Negative,ಟಿಕ್ಚೋಕರ್ಸ್ ಪೆರೆಂಟ್ ಸಿಟ್ಯೂಶನ್... ನ್ನೋಡುವವರು ಯಾರು ನಮ್ಮ ವೀಡಿಯೋನೂ,"Tik Chockers' Parent Status: Who's watching our video?
"
4,4,Super ಸಾಂಗ್ ವೆರಿ ನೈಸ್....,Positive,ಸೂಪರ್ ಸಾಂಗ್ ವೆರಿ ನೈಸ್....,"The song is very peppy.
"
5,5,Varshakke 3 thagadu movie madi industry haal mado hero galu ondh kade adrenn3 Varsha kasta pattu ondhu olle film mado namma Rakshith Shetty haagu Yash innondh kade n,Negative,ವರ್ಷಕ್ಕೆ 3 ತಗಡು ಮೂವಿ ಮಾಡಿ ಇಂಡಸ್ಟ್ರಿ ಹಾಲ್ ಮಾಡೋ ಹೀರೋ ಗಳು ಒಂದ್ ಕಡೆ ಅಡ್ರೆನ್3 ವರ್ಷಾ ಕಷ್ಟ ಪಟ್ಟು ಒಂದು ಒಳ್ಳೆ ಫಿಲ್ಮ್ ಮಾಡೋ ನಮ್ಮ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಹಾಗೂ ಯಶ್ ಇನ್ನೊಂದ ಕಡೆ ನ್,"Our Rakshit Shetty and Yash have to make a good film with Adren3 on the one hand.
"
6,6,Tickets amount 10000 adru mosa illa ... Love you  all,Positive,ಟಿಕೆಟ್ಸ್ ಅಮೌಂಟ್ 10000 ಅದ್ರು ಮೋಸ ಎಲ್ಲಾ ... ಲವ್ ಯುಎ ಆಲ,"Ticket Account 10000
"
7,7,Super super super film I can't explain,Positive,ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಫಿಲ್ಮ್ ಈ ಕ್ಯಾನ್'ತ್ ಎಕ್ಸ್ಪಿನ್,"Super Super film
"
8,8,@Wild Rex ಕಟ್ಟಬೇಕು bronಖಂಡಿತಾ ಕಟ್ಟುತ್ತೆ  bro,Mixed feelings,@ವೈಲ್ಡ್ ರೆಕ್ಸ್ ಕಟ್ಟಬೇಕು ಬ್ರೋನ್ಖಂಡಿತಾ ಕಟ್ಟುತ್ತೆ ಬ್ರೋ,"@ Wild Rex Should Be Built Bronkhandita Bronkhandita
"
9,9,shankaragouda desaigoudra super,Positive,ಶಂಕರಗೌಡ ದೇಶೈಗೂರ್ಣ ಸೂಪರ್,"Shankar Gowda Superhero
"
10,10,@Vinay Vn  nani gentle men??,unknown state,@ವಿನಯ್ ವಿಎನ್ ನಾನಿ ಜೆಂಟಲ್ ಮೆನ್??,"Vinay VN Nani Is The Gentleman?
"
11,11,Nayanappa's book ??,unknown state,ನಯನಪ್ಪ'ಎಸ್ ಬುಕ್ ??,"Is it a book?
"
12,12,Who is here after 300k likes,Mixed feelings,ಹೂ ಐಎಸ್ ಹೀರೆ ಆಫ್ಟರ್ 300ಕಿ ಲೈಕ್ಸ್,"Who Is After 300 Kms Likes
"
13,13,Sir ನಿಮ್ಮ ಮಾತು 100 ಕ್ಕೆ ೧೦೦% ಸತ್ಯ..,Positive,ಸಾರ್ ನಿಮ್ಮ ಮಾತು 100 ಕ್ಕೆ ೧೦೦% ಸತ್ಯ..,"Sir, your words are 100 per cent true.
"
14,14,Very nice togari tippa story,Positive,ವೆರಿ ನೀಸ್ ತೊಗರಿ ಟಿಪ್ಪ ಸ್ಟೋರಿ,"The Tippa Story
"
15,15,Superb songnದೀಪಣ್ಣನ ಅಭಿಮಾನಗಳ ಕಡೆಯಿಂದ ರಕ್ಷಿತ ಶೆಟ್ಟಿಯವರಿಗೆ ಶುಭವಾಗಲಿ....,Positive,ಸುಪರ್ಬ್ ಸಾಂಗ್ದೀಪಣ್ಣನ ಅಭಿಮಾನಗಳ ಕಡೆಯಿಂದ ರಕ್ಷಿತ ಶೆಟ್ಟಿಯವರಿಗೆ ಶುಭವಾಗಲಿ....,"Best wishes to Rakshit Shetty from Superb Sangdipannas fans.
"
16,16,Erbahudu please support maadi ea rakshit sitting sir genRashmikage hotte uribeku nodi,Negative,ಎರುಹುದು ಪ್ಲೀಸ್ ಸುಪ್ಪೋರ್ಟ್ ಮಾಡಿ ಏ ರಕ್ಷಿತ್ ಸಿಟಿಂಗ್ ಸಾರ್ ಗೆಂರಾಷ್ಮಿಕವಾಗಿ ಹೊಟ್ಟೆ ಉಳಿಬೇಕು ನೋಡಿ,""""" """" ""Erudhu"" """" ""Please support and watch A Rakshit, sitting sir, to keep your stomach healthy"" """"
"
17,17,Promotion chennagi nadtilla,Negative,ಪ್ರೊಮೋಷನ್ ಚೆನ್ನಾಗಿ ನಟ್ಟಿಲ್ಲಾ,"Promotions not good
"
18,18,Dislike madiroeu pakka Hollywood heroine fans,Negative,ದಿಸ್ಲಿಕೆ ಮಾಡಿರೂ ಪಕ್ಕ ಹಾಲಿವುಡ್ ಹೆರೋನ್ ಫ್ಯಾನ್ಸ್,"Hollywood Heroine Fans
"
19,19,Tq bro for saport Trollers iam troller nಜೈ ಹಿಂದ್,Positive,ಟೆಕಿ ಬ್ರೋ ಫೋರ್ ಸಪೋರ್ಟ್ ಟ್ರೋಲರ್ಸ್ ಇಎಂ ಟ್ರೋಲರ್ ನ್ಜೈ ಹಿಂದ್,"Techie Bro Four Support Trollers EM Troller Nzai Hind
"
20,20,Adi and dia,Positive,ಅಡಿ ಆಂಡ್ ಡಿಯಾ,"Foot and Mouth
"
21,21,Bro a game yavdu,Mixed feelings,ಬ್ರೋ ಏ ಗೇಮ್ ಯಾವ್ದು,"What a game
"
22,22,Finally  movie nodaytu..... Adbhuta atyadbhuta......... Nodo prati kshananu taleli budhi odtane eirute...... Amazing,Positive,ಫೈನಲ್ಲಿ ಮೂವಿ ನೋಡಿತು..... ಅದ್ಭುತ ಅತ್ಯದ್ಭುತ......... ನೋಡೋ ಪ್ರತಿ ಕ್ಷಣನು ತಲೆಲಿ ಬೂದಿ ಒಡ್ಡನೆ ಏರುತೆ...... ಅಮೇಜಿಂಗ್,"Watch the movie in the file.
"
23,23,Different star rakshit sir,not-Kannada,ಡಿಫ್ಯರೆಂಟ್ ಸ್ಟಾರ್ ರಕ್ಷಿತ್ ಸಾರ್,"Star Rakshit Shetty
"
24,24,Bro superb keep doing,not-Kannada,ಬ್ರೋ ಸುಪರ್ಬ್ ಕೀಪ್ ಡಾಂಗ್,"Bro Superb Kip Dong
"
25,25,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ,Negative,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ,"Do you remember your father?
"
26,26,ಇದೇ ಥರ ಕನ್ನಡ ಚಲನಚಿತ್ರಗಳನ್ನು ಕೊಡ್ತಾರೆ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರ ಧನ್ಯವಾದಗಳು,Positive,ಇದೇ ಥರ ಕನ್ನಡ ಚಲನಚಿತ್ರಗಳನ್ನು ಕೊಡ್ತಾರೆ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯವರ ಧನ್ಯವಾದಗಳು,"Rakshit Shetty's movies in Kannada
"
27,27,Super song buddy,Positive,ಸೂಪರ್ ಸಾಂಗ್ ಬುದ್ಧಿ,"Superb song
"
28,28,Daily hakri........ nim video super agirutte,Positive,ಡೇಲಿ ಹಾಕ್ರಿ........ ನಿಮ್ ವೀಡಿಯೋ ಸೂಪರ್ ಆಗಿರುತ್ತೆ,"Daily Hockry... your video will be super
"
29,29,Wat dat means bro,unknown state,ವ್ಯಾಟ್ ದತ್ ಮೆನ್ಸ್ ಬ್ರೋ,"What Datt Men's Brow
"
30,30,hi good day next,not-Kannada,ಹಾಯ್ ಗುಡ್ ಡೇ ನೆಕ್ಸ್ಟ್,"Hello, Good Day Next
"
31,31,Super   music,not-Kannada,ಸೂಪರ್ ಮ್ಯೂಸಿಕ್,"Superb Music
"
32,32,Eega ellakade ursthayirodu kannadigare,Negative,ಈಗ ಎಲ್ಲಕಡೆ ಉರ್ಷ್ಟಾಯಿರುದು ಕನ್ನಡಿಗರೆ,"Now there is a mirror everywhere
"
33,33,Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla,Positive,ಯಸ್ ಬಾಸ್ ಏ ಫಿಲ್ಮ್ ಮಾತಿಯಾ 7 ಸಾಲ ಅಲ್ಲಾ 10 ಸಾಲ ನೋಡಿದ್ದು ಬೋರ್ ಆಗಲ್ಲ,"Yes Boss a Film Matia 7 Saal Allah 10 Saal
"
